Id,Price
4567,171564.73868707687
5925,127069.43484216635
960,139214.92705725326
3848,96691.80554884153
746,181920.31062878444
868,341112.839858807
672,124923.44957596177
2471,209275.53624400738
4510,130883.34458188267
8354,235752.83023540903
6393,178315.90049745934
13270,238198.71198901534
5250,236256.219814272
16751,184284.02646990915
11404,130057.02945690078
10588,354837.7596231188
14925,209968.3727264201
6791,214132.6705885964
16097,184793.47883219592
16428,370606.4363475024
6945,364367.5978569322
3190,187520.34848710473
15709,423236.80952349317
13155,155083.41842620034
7675,191563.69054167255
14686,228389.53721472336
609,150701.80771958403
11155,152612.94626106176
10869,191888.1469995172
15742,183091.62728903547
9245,204948.73857394225
3340,181970.6008748596
2359,287699.6310900301
8070,193508.25669749596
13707,132945.37507388863
16079,274787.4312457607
15937,262792.6269806947
14090,186722.32194186962
9008,201506.05470942645
16384,173950.09745550103
11657,248321.53391341717
13151,143751.98821876242
8990,166315.04743682136
11857,181155.98109470942
1565,142795.64469146327
8174,93902.69388626327
9247,246407.49484714167
10478,215436.73495655291
15509,144724.06397597704
8306,200890.20334742824
6642,196015.5562678508
7472,217729.28727690518
15989,134418.81598806818
13682,132196.47081221774
163,252629.47913097581
7076,192426.25654351353
7478,318485.8532566614
3029,192547.2428160983
1814,142878.68545364647
10057,128057.86718684998
15100,198878.7845244687
12694,218498.18942149947
6291,191537.12117137626
12603,198649.80398249737
3218,251808.54744329996
13456,125698.34639121933
10170,247826.3083182668
4530,151420.5738996182
13329,162605.09027050703
4820,152226.7760906686
10896,175025.64293782748
13416,117864.23669935988
2701,223117.94950228775
11265,312502.7115573195
9189,245752.95485359518
1858,186232.2737197446
14536,239705.12245237804
6199,289411.2796720001
14730,152151.50070681982
7510,252553.42553528817
15505,161841.71763852244
7446,191796.03218671752
14016,179920.9575932366
14113,106292.34822719549
8721,304326.29473352386
6193,291912.03865757876
5717,182135.78145165025
5427,321278.59146320244
9520,549049.8115098366
6869,99918.17875184696
1658,157635.9536346913
6639,216755.19344846197
6283,191554.32965004057
6257,128695.83542749067
15235,191449.59725963182
902,243035.47742587997
8932,191488.57105990188
16469,308377.49922062975
2825,266584.71992127143
6450,462299.76487928873
11366,179108.79947727884
3801,327316.7584520787
11385,212327.66840575117
1079,203782.83496620477
3202,234741.21713919076
676,214451.97979570282
6185,289269.22771085234
7730,162793.05684537935
2573,182127.048557124
10978,204221.84132000356
10962,253907.76972402673
8870,186312.71063051248
8496,164526.39140524212
5517,165035.9254390367
927,186090.17939710524
13675,195949.43232335668
1499,227668.8437934774
15536,333373.7575592369
8602,282893.452409318
12137,491871.7066192616
9865,260317.46819452202
16353,283213.25036506227
15908,216274.98113578552
3944,178592.2133497824
10359,204139.31604374788
15158,217555.5860181256
3259,241623.449411825
7220,330770.4768828632
13843,216443.43680851016
16736,189401.05752849398
702,256914.604787619
16401,218773.28337515326
12134,175984.55357166057
6918,221820.5775728533
11792,126507.95353208345
3798,136587.8201069948
10395,133378.9026932183
11099,154819.64681840848
7090,206193.46741122776
11260,199971.53133400867
9647,207982.6192940335
2903,388416.0665422222
2071,185653.81305348987
8604,197993.39454720094
9346,213640.2486796227
3945,204781.14205764336
3420,138218.8731755679
10842,126689.89759820307
725,159783.29038616578
13931,198663.4952596692
16330,236248.30994846282
9066,403159.56190863566
3326,286974.7620608373
1556,277844.92646240146
6579,101098.42565895067
13877,147310.27369865085
9857,324317.44527604367
7302,245345.41721548565
5684,193371.21474655092
6513,238887.13002836713
11342,114361.25026878389
16561,238027.31713402068
6885,178504.2351715467
9308,174581.51084449276
2559,171601.57894514542
6648,172223.80647760566
15260,165397.9153839357
5113,197749.9599273639
16492,209912.9482410804
12034,288575.9547474864
7248,209172.32686884818
2171,208703.42708713072
10594,173288.64898360585
13241,193673.21441328654
